Rank,NCTId,Phase,StudyType,ConditionMeshTerm,PrimaryOutcomeMeasure,StdAge,InterventionType,InterventionName,InterventionOtherName,InterventionMeshTerm,InterventionAncestorTerm,LeadSponsorName,LeadSponsorClass,ResponsiblePartyInvestigatorAffiliation,OverallOfficialAffiliation,CollaboratorName,CollaboratorClass,BriefSummary
11,NCT03292822,Early Phase 1,Interventional,"Carcinoma|Carcinoma, Squamous Cell|Squamous Cell Carcinoma of Head and Neck",Apoptosis,Child|Adult|Older Adult,Dietary Supplement|Drug,Licochalcone A|Paclitaxel,taxol,Paclitaxel,"Antineoplastic Agents, Phytogenic|Antineoplastic Agents|Tubulin Modulators|Antimitotic Agents|Mitosis Modulators|Molecular Mechanisms of Pharmacological Action",Cairo University,OTHER,Cairo University,Cairo University,,,"Oral squamous cell carcinoma (OSCC) are considered as a one of the most malignant cancers. It has prognosis due to its distant metastasis and obvious destruction which lead to low survival rate.||The conventional treatment modalities such as surgery, radiotherapy and chemotherapy are only the suitable strategies until now. Investigators cannot ignore the serious side effects of chemotherapy such as gastrointestinal upset, bone marrow suppression which cannot be overcome. For all these complications, there is a great need and demand to discover a new agents and strategies for treating OSCC.||Licorice extract, especially Licochalcone A, is one of many natural extracts that have used as a traditional in treatment of inflammation, microbial infections. Regarding antitumor effect, Licochalcone A reveals interesting results in programmed cell death and apoptosis in cancer cells such as prostate, bladder, colon and gastric cancer."
12,NCT00287131,Phase 2,Interventional,Melanoma,Response rate and toxicity,Adult|Older Adult,Procedure,Procedure - Adoptive cell transfer,,,,Sheba Medical Center,OTHER_GOV,,"Head, Ella Institute, Sheba Medical Center",,,"Metastatic melanoma is an aggressive and highly malignant cancer. The five-year survival rate of patients with metastatic disease is less than 5% with a median survival of only 6-10 months. Drugs like Dacarbazin (DTIC) as a single agent or in combination with other chemotherapy agents, have a response rate of 15-30%, but the duration of response is usually short, with no impact on survival. Interleukin-2 (IL-2) based immunotherapy has shown more promising results. This form of therapy has a similar response rate with some patients achieving a durable complete response. Recently the National Institute of Health (NIH) reported that by using lympho-depleting chemotherapy, followed by an adoptive transfer of large numbers of anti-tumor specific tumor-infiltrating lymphocytes (TIL), an objective regression was achieved in 51% of patients with metastatic melanoma.||Objectives: To introduce the TIL technology to advanced metastatic melanoma patients in Israel."
13,NCT05442333,Not Applicable,Interventional,Sarcoma|Wounds and Injuries,wound and local complications,Child|Adult|Older Adult,Procedure,surgical resection with safety margin,pre operative radiotherapy|post operative radiotherapy,,,Ain Shams University,OTHER,Ain Shams University,,,,"Extremity soft tissue sarcomas (ESTS)s are rare mesenchymal cancers that considered a challenge for orthopaedic surgeons. Soft tissue sarcomas (STS) comprise less than 1% of malignant cancers, commonly occur in the proximal extremities and trunk. Limb-sparing surgery mostly are targeted in most of the patients, so adjuvant or neoadjuvant radiotherapy is usually added. Preoperative radiotherapy (neoadjuvant) or postoperative radiotherapy (adjuvant) offers local control and survival rates, but the local complications are controversial. However, different retrospective studies had shown that preoperative radiotherapy cause higher wound complication rate, while both preoperative and postoperative radiotherapy had the same results regarding local recurrence"
14,NCT01416285,,Observational,Heart Failure,hospitalization (cardiac and non-cardiac) and death (cardiac and non-cardiac).,Adult|Older Adult,,,,,,Chang Gung Memorial Hospital,OTHER,Chang Gung Memorial Hospital,Chang Gung Memorial Hospital,,,"Congestive heart failure (CHF) is a major public health problem worldwide. CHF carries a devastating prognosis, which resembles that of some types of malignant cancer. Despite substantial improvements in the management of the disease, the prognosis remains poor especially in advanced stages of the disease. For these patients, self-management plan includes monitoring of symptoms such as fatigue and shortness of breath, daily weighing, and knowing what to do if signs of deterioration appear, and when to report the changes to health. The investigators hypothesize that patients in the heart failure management programs that promote self-management by means of intensive education, edema index-assistance, and telephone follow-up can improve their functional status and quality of life, as well as the biomarkers of CHF, left ventricular systolic function, proteinuria and nutritional status."
15,NCT02800486,Phase 2,Interventional,Neoplasms|Glioblastoma|Brain Neoplasms|Astrocytoma,Progression Free Survival (PFS)|Overall Survival (OS),Adult|Older Adult,Drug|Drug|Radiation,Intra-arterial Cetuximab|Intra-arterial Mannitol|Hypofractionated re-irradiation,,Cetuximab|Mannitol,"Antineoplastic Agents, Immunological|Antineoplastic Agents|Diuretics, Osmotic|Diuretics|Natriuretic Agents|Physiological Effects of Drugs",Northwell Health,OTHER,Northwell Health,Northwell Health,,,"Primary brain tumors are typically treated by surgery, radiation therapy and chemotherapy, either individually or in combination. Present therapies are inadequate, as evidenced by the low 5-year survival rate for brain cancer patients, with median survival at approximately 12 months. Glioma is the most common form of primary brain cancer, afflicting approximately 7,000 patients in the United States each year. These highly malignant cancers remain a significant unmet clinical need in oncology. GBM often has a high expression of EFGR (Epidermal Growth Factor Receptor), which is associated with poor prognosis. Several methods of inhibiting this receptor have been tested, including monoclonal antibodies, vaccines, and tyrosine kinase inhibitors. The investigators hypothesize that in patients with recurring GBM, intracranial superselective intra-arterial infusion of Cetuximab (CTX), at a dose of 250mg/m2 in conjunction with hypofractionated radiation, will be safe and efficacious and prevent tumor progression in patients with recurrent, residual GBM."
16,NCT03504098,,Observational,"Lung Neoplasms|Carcinoma, Non-Small-Cell Lung|Malnutrition","Assessment of one-carbon nutrient (folate, choline, betaine, Vitamine B12) intake of lung cancer patients",Adult|Older Adult,Behavioral,nutrition consult,,,,National Taiwan University Hospital,OTHER,,National Taiwan University Hospital,,,"Non-small cell lung cancer (NSCLC) accounts for more than two-thirds of lung cancer, which is the leading cause of cancer deaths in Taiwan. The overall prognosis of NSCLC is poor with low 5-year survival rates. Recent advances suggest that malignancy NSCLC cancers are the cancer stem cell (CSC) diseases. The stemness potentials of CSC with epithelial-mesenchymal transdifferentiation ensure their invasion and disseminate to metastsis organs. The self-renewal property of CSC mediates intrinsic drug resistance to cytotoxicity therapy and promoted aggressive relapse tumour. Metabolic reprogramming on bioenergetics of malignant cancer cells has been proposed as the key mediator in the stemness CSC development. Malignancy cells uptake glucose for fermented glycolysis to produce lactate which release resulted in acidified microenvironment to trigger the mTOR and sonic hedgehog metabolic stress signaling in supporting CSC stemness potentials. The metabostemness of cancer cells is the new-dimensional hallmark of malignancy tumour, which may serve as the diagnostic markers for the early detection of malignancy cancers. Folate-mediated one carbon metabolism coordinates glucose into amino acid metabolism to tailor the fuel metabolites in supporting macromolecule synthesis and to sustain the bioenergetics requirement. Acting as the metabolic stressor, low folate intake is associated with increased risks of lung cancers. Folate and one-carbon nutrient status of NSCLC patients in Taiwan, however, has not been assessed. The role of low folate metabolic stress (LFMS) in metabostemness marker and metastasis potentials of malignancy NSCLC is unexplored. The causal effect and the working mechanisms by which LFMS promoted NSCLC malignancy remain elusive."
17,NCT04223999,Phase 2,Interventional,Glioblastoma|Recurrence,OS12,Adult|Older Adult,Procedure|Other,Skullremodeling surgery|Control,SR-surgery,,,Anders Rosendal Korshøj,OTHER,Aarhus University Hospital,Aarhus University Hospital,"NovoCure GmbH|Odense University Hospital|Aalborg University Hospital|Rigshospitalet, Denmark",INDUSTRY|OTHER|OTHER|OTHER,"The aim of this trial is to test a new potential treatment, skullremodeling surgery (SR-surgery) combined with tumor treating fields (TTFields), for patients with first recurrence of malignant brain tumor (first recurrence of glioblastoma). Glioblastoma is one of the most malignant cancers.||TTFields is a new treatment for brain cancer (glioblastoma), which is used in additional to surgery (removal of the tumor), chemotherapy and radiation. TTFields work by sending alternating current to the tumor. The current disrupts cell division and thus prevents cancer growths. Electrodes are placed on the scalp and the current is delivered via a small portable battery (1kg). Treatment duration is 18 hours during the day, where the patient can do normal daily activities. The average life expectancy of a newly diagnosed brain cancer patient (glioblastoma) is increased from 15 months to 21 months by adding TTFields.||SR-surgery is a minor and safe procedure, that involves creating small burrholes in the skull over the tumor location. The burrholes are approximately 15 mm in diameter. The burrholes increase the electric current in the tumor by funneling the electricity trough the path of least resistance, since bone hinders the electricity.||The theory is that combining TTFields with SR-surgery we can increase the effect of TTFields and in return increase overall survival for brain cancer patients.||The investigators have recently finished a phase 1 clinical trial, with 15 trial participants, testing the safety and efficacy of our combined treatment. The investigators concluded that TTFields and SR-surgery combined is safe and showed promising results by increasing overall survival with the trial participants.||Therefor we wish to proceed with a phase 2 trial.||Method The investigators aim to include 70 patients with first recurrence of glioblastoma (brain cancer). Each patient will be randomized to one of two treatment arms. Both treatment arms will receive the best current brain tumor treatment. In addition, one arm receives TTF and the other arm TTFields and SR-surgery.||All patients are expected to receive better treatment than current best practice, since TTFields is not standard treatment in Denmark.||The primary aim of the trial is to assess the 12-month overall survival in both groups. The theory is that more trial participants will be alive after 12 months in the group that receives both TTF and SR-surgery.||The trial duration is 36 months with an average expected follow-up of 18 months."
18,NCT01337544,Phase 1|Phase 2,Interventional,Neoplasms,Number of patients with adverse events according to NCI-CTC v3.0 CRITERIA as a measure of safety and tolerability,Child|Adult,Other,HAPLOIDENTICAL IL-15 STIMULATED NK CELLS,CELL THERAPY,,,"Hospital Infantil Universitario Niño Jesús, Madrid, Spain",OTHER,"Hospital Infantil Universitario Niño Jesús, Madrid, Spain",HOSPITAL UNIVERSITARIO NINO JESUS,SPANISH HEALTH RESEARCH FUND (FIS),UNKNOWN,"The investigators propose a new antitumor cell therapy for treating childhood refractory solid tumours. The aim of this study is explore the graft versus tumour effect mediated by allogenic natural killer cells (NKs). NK cell alloreactivity can be predicted by donor killer immunoglobulin-like receptors (KIRs) and human leukocyte antigen (HLA) class I alleles mismatch. Cells without an inhibitory HLA ligand may trigger natural killer cell activation and elimination of those target cells. Reduced risk of relapsed has been described in malignant cancer after haploidentical stem cell transplantation when HLA ligands against the inhibitory KIRs present in the donor were absent in the recipient (KIR-HLA receptor-ligand mismatch). NK alloreactivity could also be obtained by Natural Killer Receptor (NCR), Toll-Like-Receptors (TLRs) and NKG2D receptor stimulation mediated by cytokines or tumour cell lines.||This will be an open, non randomized, Phase I/II clinical trial, with a double objective: therapeutic exploratory. The investigators aim at studying safety and efficacy of haploidentical stem cell transplantation for the treatment of these malignancies with no cure known. Patients will receive an haploidentical stem cell transplantation, followed by IL-15 stimulated NK cells infusion one month after transplantation. Efficacy of the procedure will be evaluated with up-to-date radiological techniques, molecular studies and functional assays."
19,NCT05271240,Phase 3,Interventional,Glioblastoma|Brain Neoplasms|Glioma,Overall survival (OS),Adult|Older Adult,Drug|Drug,Repeated Superselective Intraarterial Cerebral infusion (SIACI) of Bevacizumab (Avastin) with Temozolomide and Radiation|Temozolomide and Radiation Alone,IA BV+TMZ/RT|Intraarterial Bevacizumab|TMZ/RT alone,Bevacizumab|Temozolomide,"Antineoplastic Agents, Immunological|Antineoplastic Agents|Angiogenesis Inhibitors|Angiogenesis Modulating Agents|Growth Substances|Physiological Effects of Drugs|Growth Inhibitors|Antineoplastic Agents, Alkylating|Alkylating Agents|Molecular Mechanisms of Pharmacological Action",Northwell Health,OTHER,Northwell Health,Feinstein Institute for Medical Research/Lenox Hill Hospital,,,"Primary brain cancer kills up to 10,000 Americans a year. These brain tumors are typically treated by surgery, radiation therapy and chemotherapy, either individually or in combination. Present therapies are inadequate, as evidenced by the low 5-year survival rate for brain cancer patients, with median survival at approximately 12 months. Glioma is the most common form of primary brain cancer, afflicting approximately 7,000 patients in the United States each year. These highly malignant cancers remain a significant unmet clinical need in oncology.||The investigators have completed a Phase I clinical trial that has shown that Superselective Intraarterial Cerebral Infusion (SIACI) of Bevacizumab (BV) is safe up to a dose of 15mg/kg in patients with recurrent malignant glioma. Additionally, the investigators have shown in a recently completed Phase I/II clinical trial, that SIACI BV improves the median progression free survival (PFS) from 4-6 months to 11.5 months and overall survival (OS) from 12-15 months to 23 months in patients with newly diagnosed GBM. Therefore, this two-arm, randomized trial (2:1) is a follow up study to these trials and will ask simple questions: Will this repeated SIACI treatment regimen increase progression free survival (PFS-primary endpoint) and overall survival (OS-secondary endpoint) when compared with standard of care in patients with newly diagnosed GBM? Exploratory endpoints will include adverse events and safety analysis as well as quality of life (QOL) assessments. The investigators expect that this project will provide important information regarding the utility of repeated SIACI BV therapy for newly diagnosed GBM and may alter the way these drugs are delivered to our patients in the near future."
20,NCT02861898,Phase 1|Phase 2,Interventional,Neoplasms|Glioblastoma|Brain Neoplasms,Progression Free Survival (PFS)|Overall Survival (OS),Adult|Older Adult,Drug|Drug,Intra-arterial Cetuximab|Intra-arterial Mannitol,,Cetuximab|Mannitol,"Antineoplastic Agents, Immunological|Antineoplastic Agents|Diuretics, Osmotic|Diuretics|Natriuretic Agents|Physiological Effects of Drugs",Northwell Health,OTHER,Northwell Health,,,,"Primary brain cancer kills up to 10,000 Americans a year. These brain tumors are typically treated by surgery, radiation therapy and chemotherapy, either individually or in combination. Present therapies are inadequate, as evidenced by the low 5-year survival rate for brain cancer patients, with median survival at approximately 12 months. Glioma is the most common form of primary brain cancer, afflicting approximately 7,000 patients in the United States each year. These highly malignant cancers remain a significant unmet clinical need in oncology. GBM often has a high expression EFGR (Epidermal Growth Factor Receptor) which is blocked by Cetuximab (CTX). The investigators have recently completed a separate Phase I clinical trial using superselective intra-arterial cerebral infusion (SIACI) of CTX after blood brain barrier disruption (BBBD) for recurrent GBM (Chakraborty et al, in revision, Journal of Neurooncology). The investigators found that intra-arterial infusion of CTX is well tolerated with few adverse effects. The investigators hypothesize that in patients with newly diagnosed GBM, repeated SIACI of this drug after BBBD will be safe and efficacious for our patients when combined with standard chemoradiation (STUPP protocol).||This trial will be a non-randomized open label Phase I/II clinical trial. In addition to standard chemotherapy and radiation therapy (STUPP protocol) the patient will be given CTX intra-arterially after BBBD for a total of three doses at approximately post surgery days 30, 120 and 210."
21,NCT03732872,,Observational,Oral Submucous Fibrosis|Fibrosis,Change in Expression of E-cadherin levels in all the groups in IHC|Change in Expression of vimentin levels in all the groups in IHC|Change in Expression of collagen IV levels in all the groups in IHC|Change in Expression of miRNA 21 in all three groups using Real Time-PCR|CHange in E cadherin levels in PCR|Change in vimentin levels in PCR,Adult|Older Adult,Diagnostic Test|Diagnostic Test,Biopsy tissue analysis|Saliva analysis,,,,"The Oxford Dental College, Hospital and Research Center, Bangalore, India",OTHER,"The Oxford Dental College, Hospital and Research Center, Bangalore, India",,"Credora Life Sciences, India",UNKNOWN,"Oral Sub mucous Fibrosis (OSMF) is essentially an imbalance between collagen metabolism and wound healing mechanism induced by arecanut chewing habit. Clinically the disease progresses in stages with patients presenting with burning sensation, intolerance to spicy food, vesicles particularly on the palate, ulceration and dryness of the mouth , fibrosis of the oral mucosa, leading to lips, tongue, and palate rigidity and finally trismus. As the disease is progressively debilitating and has potential to turn in to malignant cancer a study was designed to assess if there any tissue or saliva markers that can be assessed for early diagnosis and indicate malignant transformation if any.||Participants who had OSMF and habit history, patients without OSMF but habit history formed the case group where as normal patients without OSMF and no habit history were in control group. Eligible candidates who consented to participate in study were subjected to biopsy procedure and also their saliva samples were collected. Biopsy samples were subjected to immunohistochemistry (IHC) and polymerase chain reaction (PCR) to assess the EMT markers like vimentin, e-cadherin and collagen IV. miRNA copies were extracted from saliva and were subjected RT-PCR.||Research question was:||Is EMT a positive signature in OSMF.|Does histopathological grading and dysplasia in OSMF have any correlation with EMT.|Can aberrant EMT markers be a reliable indicator for risk assessment of early malignant transformation.|Can expression of mi RNA 21 in saliva predict the disease severity and more importantly assess risk of early malignant transformation in OSMF."
22,NCT01022021,Early Phase 1,Interventional,Lymphoma,To assess the efficacy of G-CSF induced PBSC mobilization after two cycles of rituximab and Bendamustine (BR) as salvage therapy in patients with relapsed non-Hodgkins lymphoma,Adult|Older Adult,Drug|Drug,Rituximab|Bendamustine,Rituxan|Treanda,Rituximab|Bendamustine Hydrochloride,"Antineoplastic Agents, Immunological|Antineoplastic Agents|Immunologic Factors|Physiological Effects of Drugs|Antirheumatic Agents|Antineoplastic Agents, Alkylating|Alkylating Agents|Molecular Mechanisms of Pharmacological Action",University of Kansas Medical Center,OTHER,,University of Kansas Medical Center,Cephalon,INDUSTRY,"Patients with certain types of cancer require treatment with very high doses of chemotherapy. A side effect of high chemotherapy doses is damage to the bone marrow where our blood and immune system cells are produced.||Stem cells (or progenitor cells) are the source of all blood cells. They are formed in the bone marrow (the spongy cavity in the center of large bones). The stem cells receive signals that direct them to become red cells, white cells or platelets. This happens before they are released into the blood stream. Stem cells circulating in the blood stream can be collected through a process called ""apheresis"" or ""stem cell collection"". The cells are then processed and frozen to preserve them. After chemotherapy has been given the stem cells are thawed and given back intravenously (IV: into the vein), like a blood transfusion. The stem cells in the collection will find their way back into the bone marrow space and, after a few days, will start to produce the blood and immune cells as they normally would. Having your own stem cells collected and returned to you later is called an ""autologous transplant.""||Non-Hodgkin's lymphoma is a disease in which malignant cancer cells form in the lymph system. Autologous stem cell transplantation is the standard of care for a chemo-sensitive relapse in patients with large cell lymphoma that has spread.||Bendamustine works by blocking the growth of cancer cells. It is used for the management of chronic lymphocytic leukemia and follicular lymphoma. Bendamustine in addition to rituximab (BR) is used in several trials in patients with lymphoma with encouraging results. Adequate peripheral blood stem cell (PBSC) collection is a pre-requisite for high dose therapy followed by cell transplantation in patients with relapsed lymphoma. Exposure to previous multiple chemotherapy and radiation treatment may lead to poor mobilization of PBSC. It is not known whether pre-treatment with bendamustine will adversely affect the process of PBSC mobilization and harvest. On the other hand, it is assumed that high dose alkylating agents like cyclophosphamide may actually help in breaking the bond between stem cells and the stromal cells in the marrow cavity and hence may lead to a better mobilization of PBSC."
